asset,usdt_symbol,usdt_current_state,usdt_color_age_days,usdt_flip,btc_symbol,btc_current_state,btc_color_age_days,btc_flip,score,score_tier,market_cap_rank,reason,usdt_tradingview_link,btc_tradingview_link
ACT,ACTUSDT,Gold,3,No,,,,No,0,D Ignore,1184,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ACTUSDT,
ACX,ACXUSDT,Blue,24,No,,,,No,0,D Ignore,674,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ACXUSDT,
ADA,ADAUSDT,Gold,7,No,ADABTC,Blue,2,No,0,D Ignore,18,"Two-color confirmation did not come immediately after Gray — large-cap stability, top market cap, clean transition",https://www.tradingview.com/chart/?symbol=ADAUSDT,https://www.tradingview.com/chart/?symbol=ADABTC
ADX,ADXUSDT,Gold,8,No,ADXBTC,Blue,59,No,0,D Ignore,1242,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ADXUSDT,https://www.tradingview.com/chart/?symbol=ADXBTC
AERGO,AERGOUSDT,Blue,61,No,AERGOBTC,Blue,78,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=AERGOUSDT,https://www.tradingview.com/chart/?symbol=AERGOBTC
AERO,AEROUSDT,Unknown,,No,,,,No,0,D Ignore,106,Not enough candles: 46 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:AEROUSDT,
AEUR,AEURUSDT,Blue,74,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=AEURUSDT,
AEVO,AEVOUSDT,Gold,6,No,AEVOBTC,Blue,89,No,0,D Ignore,789,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=AEVOUSDT,https://www.tradingview.com/chart/?symbol=AEVOBTC
AGIX,AGIXUSDT,Blue,22,No,AGIXBTC,Blue,27,No,0,D Ignore,940,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=AGIXUSDT,https://www.tradingview.com/chart/?symbol=AGIXBTC
AGLD,AGLDUSDT,Gray,4,No,AGLDBTC,Blue,170,No,0,D Ignore,945,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=AGLDUSDT,https://www.tradingview.com/chart/?symbol=AGLDBTC
AI,AIUSDT,Blue,71,No,AIBTC,Blue,115,No,0,D Ignore,714,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=AIUSDT,https://www.tradingview.com/chart/?symbol=AIBTC
